"Date","Price","Open","High","Low","Vol.","Change %"
"11-11-2024","22,591.40","22,590.10","22,770.55","22,478.70","2.01B","-0.24%"
"08-11-2024","22,645.65","22,821.90","22,857.10","22,600.25","1.92B","-0.70%"
"07-11-2024","22,806.25","23,067.15","23,073.55","22,793.90","2.04B","-0.98%"
"06-11-2024","23,031.20","22,782.20","23,052.20","22,720.30","2.16B","1.55%"
"05-11-2024","22,679.85","22,458.30","22,697.50","22,343.95","2.14B","0.72%"
"04-11-2024","22,518.30","22,831.80","22,832.65","22,362.65","2.26B","-1.34%"
"01-11-2024","22,823.55","22,806.95","22,881.50","22,799.70","604.29M","0.59%"
"31-10-2024","22,689.35","22,758.60","22,779.50","22,621.10","2.44B","-0.27%"
"30-10-2024","22,749.80","22,731.15","22,896.55","22,685.40","2.79B","-0.20%"
"29-10-2024","22,795.05","22,670.80","22,808.80","22,450.00","2.32B","0.64%"
"28-10-2024","22,649.95","22,548.70","22,756.05","22,407.00","2.91B","0.67%"
"25-10-2024","22,499.05","22,819.80","22,839.20","22,362.80","2.62B","-1.27%"
"24-10-2024","22,787.85","22,841.85","22,893.20","22,747.55","1.95B","-0.23%"
"23-10-2024","22,841.10","22,751.80","22,989.05","22,673.30","2.61B","0.12%"
"22-10-2024","22,814.45","23,277.10","23,306.20","22,789.70","2.42B","-1.93%"
"21-10-2024","23,263.25","23,527.60","23,559.05","23,224.55","2.02B","-0.76%"
"18-10-2024","23,440.70","23,285.65","23,471.20","23,120.95","1.95B","0.27%"
"17-10-2024","23,377.00","23,717.30","23,720.15","23,366.00","1.78B","-1.25%"
"16-10-2024","23,673.15","23,702.85","23,768.15","23,588.80","1.74B","-0.26%"
"15-10-2024","23,735.70","23,800.40","23,814.95","23,662.30","1.78B","0.04%"
"14-10-2024","23,727.05","23,670.50","23,740.20","23,646.10","1.68B","0.49%"
"11-10-2024","23,611.25","23,608.30","23,654.00","23,546.30","1.71B","0.06%"
"10-10-2024","23,598.15","23,695.55","23,755.50","23,580.60","1.94B","-0.01%"
"09-10-2024","23,599.60","23,600.10","23,797.45","23,570.70","2.59B","0.37%"
"08-10-2024","23,512.55","23,175.20","23,544.80","23,106.50","2.56B","1.43%"
"07-10-2024","23,181.95","23,616.35","23,659.65","23,089.50","3.04B","-1.50%"
"04-10-2024","23,534.95","23,704.95","23,920.30","23,483.40","2.62B","-0.93%"
"03-10-2024","23,755.45","23,931.85","24,122.00","23,713.00","2.73B","-2.13%"
"01-10-2024","24,271.30","24,248.50","24,329.45","24,191.05","2.21B","0.11%"
"30-09-2024","24,245.20","24,410.00","24,456.10","24,217.40","2.61B","-1.00%"
"27-09-2024","24,489.55","24,529.55","24,573.40","24,469.00","4.20B","-0.03%"
"26-09-2024","24,496.90","24,399.15","24,512.65","24,338.40","3.10B","0.52%"
"25-09-2024","24,371.25","24,377.25","24,394.35","24,268.50","2.93B","-0.08%"
"24-09-2024","24,389.70","24,390.05","24,429.00","24,353.75","2.60B","0.04%"
"23-09-2024","24,379.20","24,294.80","24,393.70","24,262.30","3.57B","0.77%"
"20-09-2024","24,193.80","23,956.55","24,243.15","23,885.00","4.24B","1.42%"
"19-09-2024","23,853.95","24,012.30","24,078.00","23,702.00","4.51B","-0.19%"
"18-09-2024","23,898.65","23,972.55","24,000.30","23,800.85","1.86B","-0.30%"
"17-09-2024","23,969.90","24,008.25","24,008.25","23,912.55","1.62B","0.01%"
"16-09-2024","23,968.20","24,006.15","24,026.00","23,917.50","1.72B","0.17%"
"13-09-2024","23,928.20","23,966.50","23,966.55","23,885.20","2.06B","0.09%"
"12-09-2024","23,907.35","23,680.00","23,934.60","23,593.60","2.37B","1.60%"
"11-09-2024","23,531.25","23,665.10","23,723.05","23,498.15","2.31B","-0.48%"
"10-09-2024","23,643.65","23,591.85","23,712.95","23,531.65","2.23B","0.60%"
"09-09-2024","23,502.15","23,452.85","23,526.55","23,294.45","2.36B","0.10%"
"06-09-2024","23,477.70","23,746.00","23,794.35","23,434.90","3.87B","-1.20%"
"05-09-2024","23,762.80","23,821.00","23,836.35","23,749.05","2.32B","0.06%"
"04-09-2024","23,748.90","23,611.80","23,761.40","23,605.35","2.06B","-0.17%"
"03-09-2024","23,788.45","23,817.00","23,817.55","23,771.20","1.81B","0.12%"
"02-09-2024","23,760.70","23,835.20","23,835.20","23,693.65","2.52B","0.11%"
"30-08-2024","23,734.55","23,728.55","23,766.40","23,673.95","7.02B","0.44%"
"29-08-2024","23,631.40","23,618.25","23,664.35","23,494.45","2.98B","0.07%"
"28-08-2024","23,615.95","23,646.80","23,679.35","23,547.25","2.45B","0.05%"
"27-08-2024","23,604.85","23,592.00","23,633.20","23,555.55","2.21B","0.18%"
"26-08-2024","23,561.75","23,514.30","23,579.75","23,466.75","2.00B","0.61%"
"23-08-2024","23,418.65","23,485.30","23,496.85","23,401.00","2.34B","-0.09%"
"22-08-2024","23,440.70","23,467.15","23,474.85","23,408.95","2.19B","0.31%"
"21-08-2024","23,368.65","23,283.75","23,383.20","23,256.25","2.23B","0.38%"
"20-08-2024","23,280.35","23,223.60","23,292.70","23,175.40","2.17B","0.61%"
"19-08-2024","23,139.75","23,174.20","23,195.60","23,104.10","2.13B","0.36%"
